Site Name,address,city,state,zip_code
BRIELLE YACHT CLUB MARINA,201 UNION LN,BRIELLE,NJ,08730
HOFFMANS MARINA,602 GREEN AVE,BRIELLE,NJ,08730
HWY 34 SERVICE STATION,6870 RT 9,HOWELL,NJ,07731
SPEEDWAY SERVICE STATION #03462,2630 RT 70,WALL,NJ,08736
OCEAN STAR FUEL SERVICE STATION,65 UNION AVE,MANASQUAN,NJ,08736
TIGER MART EXXON SERVICE STATION,199 E MAIN ST,MANASQUAN,NJ,08736
BJS WHOLESALE CLUB #371,5371 RT 9,HOWELL,NJ,07731
LUKOIL SERVICE STATION #57209,218 PARKER AVE,MANASQUAN,NJ,08736
SUNOCO SERVICE STATION #0007 6919,RT 71 & SEA GIRT AVE,MANASQUAN,NJ,08736
MONMOUTH CNTY ROAD DEPT DISTRICT #7,231 RT 539,UPPER FREEHOLD,NJ,08526
TALAS INC,1324 SEA GIRT AVE,WALL,NJ,08750
WAWA FOOD MARKET #938,4690 RT 9,HOWELL,NJ,07731
WALL TWP DPW,TILTONS CORNER RD,WALL,NJ,07719
GETTY SERVICE STATION #00658,4545 RT 9,HOWELL,NJ,07731
LEHIGH GAS SERVICE STATION,2276 HWY 34,WALL,NJ,08720
ALLENWOOD CIRCLE EXXON SERVICE STATION,1998 HWY 34,WALL,NJ,08720
SUNOCO RETAIL,RT 71 & WARREN AVE,SPRING LAKE HEIGHTS,NJ,07762
LEHIGH GAS SERVICE STATION,1001 RT 71,SPRING LAKE HEIGHTS,NJ,07762
MONMOUTH CNTY ROAD DEPT DIST #4,2060 HOSPITAL RD,WALL,NJ,08720
BP SERVICE STATION #5144,2004 RT 35,WALL,NJ,07719
GULF SERVICE STATION,1939 RT 35,WALL,NJ,07009
GULF SERVICE STATION #126458,4001 RT 9,HOWELL,NJ,07731
LUKOIL SERVICE STATION #57370,1951 RT 34,WALL,NJ,07719
WAWA FOOD MARKET #909,548 MONMOUTH RD,MILLSTONE,NJ,08514
ALLENWOOD FUELS,1940 RT 34,WALL,NJ,07719
HOWELL GAS SERVICE STATION,3400 RT 9,HOWELL,NJ,07731
LUKOIL SERVICE STATION #57724,3401 RT 9,HOWELL,NJ,07731
CREATIVE MANAGEMENT INC,1852 RT 35,WALL,NJ,07719
SPRING LAKE FUELS,2313 RT 71,SPRING LAKE HEIGHTS,NJ,07762
SPRING LAKE GAS SERVICE STATION,2400 RT 71,SPRING LAKE HEIGHTS,NJ,07662
RG PETROLEUM INC,504 MONMOUTH RD,MILLSTONE,NJ,08510
LUKOIL SERVICE STATION #57371,1007-1009 HIGHWAY 70,BRIELLE,NJ,08730
SALS AUTO REPAIRS,68 W SYLVANIA AVE,NEPTUNE CITY,NJ,07753
JSR FUEL SERVICE STATION,28 MAIN ST,FARMINGDALE,NJ,07727
NEPTUNE CITY MOBILE,79 W SYLVANIA AVE,NEPTUNE CITY,NJ,07753
RK GASOLINE SERVICE STATION,23 W MAIN ST,FARMINGDALE,NJ,07727
CREATIVE MANAGEMENT SERVICE STATION,117 MAIN ST,BRADLEY BEACH,NJ,07720
SUNOCO RETAIL,GARDEN STATE PKWY MM 100,WALL,NJ,07719
ASHA SERVICE STATION,158 W SYLVANIA AVE,NEPTUNE CITY,NJ,07000
RAYMOND PRESTON INC,312 MONMOUTH RD,MILLSTONE,NJ,07728
MIDIN SERVICE STATION,2 BRIGHTON AVE,NEPTUNE CITY,NJ,07753
SPEEDWAY SERVICE STATION #03452,907 MAIN ST,BRADLEY BEACH,NJ,07720
GULF,2439 CORLIES AVE,NEPTUNE TWP,NJ,07753
KP AGAM ENTERPRISE SERVICE STATION,1800 CORLIES AVE,NEPTUNE TWP,NJ,07753
NEPTUNE FUELS,1705 CORLIES AVE,NEPTUNE TWP,NJ,07753
ROUTE 9 EXXON SERVICE STATION #38936,639 RT 9,HOWELL,NJ,07731
SUNOCO SERVICE STAITON #0007 6851,3321 CORLIES AVE,NEPTUNE TWP,NJ,07753
WAWA FOOD MARKET #8329,1344 CORLIES AVE,NEPTUNE TWP,NJ,07753
SAI FUEL & 76,3562 CORLIES AVE,NEPTUNE TWP,NJ,07753
GULF SERVICE STATION #120296,3655 CORLIES AVE,NEPTUNE TWP,NJ,07533
BP SERVICE STATION #00238,20 MAIN STREET,ASBURY PARK,NJ,07712
WAWA FOOD MARKET #929,1310 HWY 34,WALL,NJ,07727
EXXON SERVICE STATION #33002,1300 RT 34,WALL,NJ,07727
LUKOIL SERVICE STATION #57739,2510 RT 9,HOWELL,NJ,07731
BELMAR FUELS,1407 1411 F ST,BELMAR,NJ,07719
BP & WALL FUEL,2402 BELMAR BLVD,WALL,NJ,07719
BELMAR SHELL SERVICE STATION,1601 RT 35,WALL,NJ,07719
ALLENTOWN MOBIL SERVICE STATION,3 WALKER ST,ALLENTOWN,NJ,08501
WAWA FOOD MARKET & SERVICE STATION #955,2485 RT 9,HOWELL,NJ,07731
BELMAR BORO BELMAR MUNICIPAL MARINA,900 MARINA AVE,BELMAR,NJ,07719
AMERICAN HERO DELI VALERO OIL,1650 OLD YORK RD,UPPER FREEHOLD,NJ,08501
SADIK AUTO REPAIR & FUEL SERVICE STATION,2001 RT 9,HOWELL,NJ,07731
GLENDOLA SERVICE CENTER,3240 BELMAR BLVD,WALL,NJ,07719
NEPTUNE CITY SUNOCO SERVICE STATION,43 STEINER AVE,NEPTUNE CITY,NJ,07753
EXXON SERVICE STATION #37285,2101 SUNSET AVE,OCEAN,NJ,07712
COSTCO WHOLESALE CORP @ SEAVIEW SQUARE MALL,2361 RT 66,OCEAN,NJ,07712
LEHIGH GAS SERVICE STATION,2901 ASBURY AVE,OCEAN,NJ,07755
PHOLIMINA PETROLEUM CORP,410 MAIN ST,ALLENHURST,NJ,07711
FREEHOLD GULF SERVICE STATION,376 STILLWELLS CORNER RD,FREEHOLD TWP,NJ,07728
FREEHOLD SUNOCO SERVICE STATION,3541 RT 9,FREEHOLD TWP,NJ,07728
MEX #121 SERVICE STATION,1001 RT 35,OCEAN,NJ,07712
WAWA FOOD MARKET #910,909 RT 33,HOWELL,NJ,07728
GETTY SERVICE STATION #56057,RT 35 & SUNSET AVE,OCEAN,NJ,07755
OCEAN TWP DPW GARAGE,3503 3605 SUNSET AVE,OCEAN,NJ,07712
Y&Y FUEL & SHELL,60 SCHANCK RD,FREEHOLD TWP,NJ,07728
BP,905 RT 33,HOWELL,NJ,07727
FREEHOLD AUTOMOTIVE CENTER,270 SOUTH ST,FREEHOLD TWP,NJ,07728
DELTA SERVICE STATION,3639 RT 9,FREEHOLD TWP,NJ,07728
SUNSET 35,1120 RT 35,WANAMASSA,NJ,07712
RACEWAY SERVICE STATION,3635 RT 9,FREEHOLD TWP,NJ,07728
RAMA FUEL & GULF,1418 RT 35,OCEAN,NJ,07712
FREEHOLD MOBIL SERVICE STATION #5096,238 JERSEYVILLE RD,FREEHOLD TWP,NJ,07728
OCEAN SHELL SERVICE STATION,805 DEAL RD,OCEAN,NJ,07755
ROUTE 33 CITGO SERVICE STATION,140 RT 33,MANALAPAN,NJ,07726
WAWA FOOD MARKET,146 WOODWARD RD,MANALAPAN,NJ,07726
YURKOVICS AUTO SERVICE STATION,436 RT 33,MANALAPAN,NJ,07726
FAST GAS SERVICE STATION,44 SOUTH ST,FREEHOLD BORO,NJ,07728
WAWA FOOD MARKET #996,2000 SHAFTO RD,TINTON FALLS,NJ,07724
JSB33 FUEL SERVICE STATION,454 RT 33,MILLSTONE,NJ,08510
RK PETROLEUM USA INC,519 RT 33,MILLSTONE,NJ,08510
HENDERSONS SUNOCO SERVICE STATION,62 THROCKMORTON ST,FREEHOLD BORO,NJ,07728
GETTY SERVICE STATION #56250,207 MONMOUTH RD,OCEAN,NJ,07755
OAKHURST SERVICE CENTER STATION,203 MONMOUTH RD,OCEAN,NJ,07755
EXXON SERVICE STATION #30024,63 E MAIN ST,FREEHOLD BORO,NJ,07728
COLLINGSWOOD MOBIL SERVICE STATION,5004 COLLINGSWOOD PK CIR,WALL,NJ,08736
SUNOCO SERVICE STATION,1729 ASBURY AVE,NEPTUNE TWP,NJ,07753
WAWA FOOD MARKET #8303,3520 RT 66,NEPTUNE TWP,NJ,07753
QUALITY SERVICE CENTER INC,708 RT 35,NEPTUNE TWP,NJ,07753
EXXON SERVICE STATION #37181,RT 35 & 66 CIR,OCEAN,NJ,07712
ASBURY CIRCLE EXXON SERVICE STATION,2000 RT 66,NEPTUNE TWP,NJ,07000
CREATIVE MANAGEMENT INC,3330 RT 66,NEPTUNE TWP,NJ,08857
ASBURY PARK BP SERVICE STATION,2415 ASBURY AVE,OCEAN,NJ,07712
RACEWAY SERVICE STATION,4200 RT9,FREEHOLD TWP,NJ,07728
JMD GAS SERVICE STATION,4211 RT 9,FREEHOLD TWP,NJ,07728
COLTS NECK CITGO SERVICE STATION,267 RT 34,COLTS NECK,NJ,07722
MIDDLETOWN SERVICE STATION,347 RT 35,EATONTOWN,NJ,07701
MONMOUTH ROAD BP SERVICE STATION,373 MONMOUTH RD,WEST LONG BRANCH,NJ,07764
US PETROLEUM,632 2ND AVE,LONG BRANCH,NJ,07740
FREEHOLD BP SERVICE STATION,4412 RT 9,FREEHOLD TWP,NJ,07728
KP AGAM ENTERPRISESERVICE STATION,187 WALL ST,WEST LONG BRANCH,NJ,07764
ENGLISHTOWN FUEL INC SERVICE STATION,70 FREEHOLD RD,MANALAPAN,NJ,07726
MONMOUTH CNTY HIGHWAY DIST #3,1160 PINEBROOK RD,TINTON FALLS,NJ,07724
SPEEDWAY SERVICE STATION #03459,800 RT 36,EATONTOWN,NJ,07724
WLB SERVICE CENTER,207 MONMOUTH RD,WEST LONG BRANCH,NJ,07764
PMG #8749,46 RT 9,MANALAPAN,NJ,07726
EXCELLENCY ENTERPRISE SERVICE STATION,150 RT 35,EATONTOWN,NJ,07724
TINTON FALLS BORO,556 TINTON AVE,TINTON FALLS,NJ,07724
WEST LONG BRANCH BP SERVICE STATION,133 RT 36,WEST LONG BRANCH,NJ,07764
PMG SERVICE STATION #9556,199 RT 9,MANALAPAN,NJ,07726
QUICK CHEK FOOD STORE #96,1 WILSON AVE,ENGLISHTOWN,NJ,07726
JMB PETROLEUM SERVICE STATION,208 RT 9,MANALAPAN,NJ,07726
WEST LONG BRANCH COASTAL SERVICE STATION,71 MONMOUTH PARK HWY,WEST LONG BRANCH,NJ,07764
19 PETROLEUM GAS STATION,RT 35 & SOUTH ST,EATONTOWN,NJ,07724
TINTON FALLS SERVICE STATION,706 TINTON AVE,TINTON FALLS,NJ,07724
SINGIN SERVICE STATION,248 250 BROADWAY,LONG BRANCH,NJ,07740
LONG BRANCH CITY DPW,636 JOLINE AVE,LONG BRANCH,NJ,07740
LUKOIL SERVICE STATION #57304,570 JOLINE AVE,LONG BRANCH,NJ,07740
GETTY SERVICE STATION #56073,208 BRANCHPORT AVE,LONG BRANCH,NJ,07740
LUKOIL SERVICE STATION #57257,120 RT 35,EATONTOWN,NJ,07724
GETTY SERVICE STATION #56935,157 BROAD ST,EATONTOWN,NJ,07724
LEHIGH GAS SERVICE STATION,247 GORDONS CORNER RD,MANALAPAN,NJ,07726
RK PETROLEUM USA INC,300 GORDONS CORNER RD,MANALAPAN,NJ,07726
LUKOIL SERVICE STATION #57207,360 RT 9,MANALAPAN,NJ,07726
PETROLEUM ENERGY PEOPLE INC,434 BRANCHPORT AVE,OCEANPORT,NJ,07757
SOUTH MAIN FUEL SERVICE STATION,2 MAIN ST,MARLBORO,NJ,07746
VALERO SERVICE STATION,391 RT 9,MANALAPAN,NJ,07726
NJLG UST1 NJ0206 SERVICE STATION,103 E MAIN ST,FREEHOLD BORO,NJ,07728
GULF SERVICE STATION,1075 NORWOOD AVE,LONG BRANCH,NJ,07740
OCEAN TWP BD OF ED BUS COMPOUND @ OCEAN TWP HIGH SCHOOL,550 W PARK AVE,OCEAN,NJ,07755
MEX #120 SERVICE STATION,2119 RT 35,OCEAN,NJ,07755
COLTS NECK TWP DPW GARAGE,231 RT 34,COLTS NECK,NJ,07722
SPEEDWAY SERVICE STATION #03431,2137 RT 35,OCEAN,NJ,07755
LUKOIL SERVICE STATION #57302,219 NEWMAN SPRINGS RD,SHREWSBURY BORO,NJ,07701
NJ AMERICAN WATER CO,661 SHREWSBURY AVE,SHREWSBURY BORO,NJ,07702
RED BANK EXXON SERVICE STATION,220 NEWMAN SPRINGS RD,RED BANK,NJ,07701
RED BANK SHELL SERVICE STATION,390 SHREWSBURY AVE,RED BANK,NJ,07701
RACEWAY SERVICE STATION,215 RT 9,MARLBORO,NJ,07746
HOLMDEL VILLAGE EXXON SERVICE STATION,46 E MAIN ST,HOLMDEL,NJ,07733
SUNOCO RETAIL,217 RT 34,HOLMDEL,NJ,07733
ROBINS MARLBORO MOBIL,181 RT 9,MARLBORO,NJ,07746
RED BANK BORO DPW,75 CHESTNUT ST,RED BANK,NJ,07701
NAVESINK MARINA,1410 OCEAN AVE,SEA BRIGHT,NJ,07760
PGM #8011,70 RT 9,MARLBORO,NJ,07727
FAIR HAVEN BORO DPW GARAGE,3RD ST & MAPLE AVE,FAIR HAVEN,NJ,07704
COSTCO WHOLESALE #1093,18 RT 9,MARLBORO,NJ,07746
FAIR HAVEN VALERO SERVICE STATION,554 RIVER RD,FAIR HAVEN,NJ,07701
SUNOCO SERVICE STATION #0007 6471,626 RIVER RD,FAIR HAVEN,NJ,07701
RACEWAY SERVICE STATION,237 RT 35,MIDDLETOWN,NJ,07701
SUNOCO SERVICE STATION #0484 4106 7723,1010 OCEAN AVE,SEA BRIGHT,NJ,07760
SEA BRIGHT GULF SERVICE STATION,1006 OCEAN AVE,SEA BRIGHT,NJ,07760
MIDDLETOWN FUEL SERVICE STATION,417 RT 35,MIDDLETOWN,NJ,07758
SHELL SERVICE STATION #138428,RT 35 & OAK HILL RD,MIDDLETOWN,NJ,07748
SPEEDWAY SERVICE STATION #03453,431 435 RT 35,MIDDLETOWN,NJ,07748
EXXON SERVICE STATION #30902,27 W RIVER RD,RUMSON,NJ,07760
EXXON SERVICE STATION #32513,469 RT 79,MARLBORO,NJ,07751
JAYS BUS SERVICE,49 KANES LN,MIDDLETOWN,NJ,07748
BP,863 RT 35,MIDDLETOWN,NJ,07748
GULF SERVICE STATION,239 RT 34,ABERDEEN,NJ,07747
ABERDEEN EXXON SERVICE STATION,1164 RT 34,ABERDEEN,NJ,07747
MATAWAN SUNOCO SERVICE STATION,1103 RT 34,ABERDEEN,NJ,07747
GETTY SERVICE STATION ,4 OCEAN AVE,MONMOUTH BEACH,NJ,07750
SHELL SERVICE STATION,720 BRANCH AVE,LITTLE SILVER,NJ,07739
LITTLE SILVER CITGO SERVICE STATION,697 BRANCH AVE,LITTLE SILVER,NJ,07750
HUNTERS SUPERIOR SERVICE CENTER,333 WILLOW DR,LITTLE SILVER,NJ,07739
LUKOIL SERVICE STATION #57715,590 SHREWSBURY AVE,TINTON FALLS,NJ,07724
BP SERVICE STATION #4284,699 NEWMAN SPRINGS RD,MIDDLETOWN,NJ,07738
LINCROFT EXXON SERVICE STATION,695 NEWMAN SPRNGS RD,MIDDLETOWN,NJ,07738
MARLBORO RACEWAY SERVICE STATION,461 NEWMAN SPRINGS RD,MARLBORO,NJ,07746
CHANNEL CLUB SMI OPCO,33 WEST ST,MONMOUTH BEACH,NJ,07750
MOBIL SERVICE STATION #2635070,1201 RT 35,MIDDLETOWN,NJ,07748
PMG SERVICE STATION #6180,102 116 BAY AVE,HIGHLANDS,NJ,07732
RACEWAY SERVICE STATION,1051 RT 34,ABERDEEN,NJ,07747
TWIN LIGHTS MARINA,52 SHREWSBURY AVE,HIGHLANDS,NJ,07732
SPEEDWAY SERVICE STATION #3442,986 RT 34,MATAWAN,NJ,07747
TRIVETT SUNOCO SERVICE STATION,162 MEMORIAL PKWY,ATLANTIC HIGHLANDS,NJ,07716
QUICK CHEK FOOD STORE,460 RT 36,HIGHLANDS,NJ,07732
JUGRAJ GAS SERVICE STATION,195 1ST AVE,ATLANTIC HIGHLANDS,NJ,07716
CHOICE PETROLEUM INC,76 BETHANY RD,HOLMDEL,NJ,07000
DELTA SERVICE STATION,700 HOLMDEL KEYPORT TPKE,HOLMDEL,NJ,07733
B&G GULF SERVICE STATION #120221,701 HOLMDEL KEYPORT TPKE,HOLMDEL,NJ,07733
HOLMDEL EXXON SERVICE STATION,2122 RT 35,HOLMDEL,NJ,07733
EXXON SERVICE STATION #32102,2055 RT 35,HOLMDEL,NJ,07733
PHILS SERVICE CENTER,695 HOLMDEL RD,HAZLET,NJ,07730
RACESTAR SERVICE STATION,133 1ST AVE,ATLANTIC HIGHLANDS,NJ,07716
ATLANTIC FUELS,RT 36 & AVE D,MIDDLETOWN,NJ,07716
DRESSLERS TEXACO SERVICE STATION,65 LEONARDVILLE RD,MIDDLETOWN,NJ,07718
SHELL SERVICE STATION #138421,777 RT 34,MATAWAN,NJ,07747
GETTY SERVICE STATION #56933,74 91 LEONARDVILLE RD,MIDDLETOWN,NJ,07718
E&N SERVICE CENTER II,882 RT 36,MIDDLETOWN,NJ,07737
LUKOIL SERVICE STATION #57718,2131 RT 35,HOLMDEL,NJ,07733
WAWA FOOD MARKET #8306,75 APPLETON AVE,MIDDLETOWN,NJ,07737
HAZLET PLAZA GULF SERVICE STATION #120322,3039 RT 35,HAZLET,NJ,07730
BELFORD GULF SERVICE STATION,659 RT 36,MIDDLETOWN,NJ,07718
SUNOCO SERVICE STATION #0007 6752,560 RT 36,MIDDLETOWN,NJ,07718
BELFORD EXXON,549 RT 36,MIDDLETOWN,NJ,07748
RJB FUEL SERVICE STATION,149 LOWER MAIN ST,ABERDEEN,NJ,07747
HAZLET EXXON SERVICE STATION,3328 RT 35,HAZLET,NJ,07730
MONMOUTH CNTY ROAD DEPT DIST #1,218 EAST RD,MIDDLETOWN,NJ,07728
LAKESIDE SHELL SERVICE STATION,110 CLARK ST,KEYPORT,NJ,07730
KEYPORT TRUCK & AUTO BODY,395 CLARK ST,KEYPORT,NJ,07721
BP SERVICE STATION,375 MIDDLE RD,HAZLET,NJ,07730
PORT MONMOUTH GULF SERVICE STATION #120209,412 RT 36,MIDDLETOWN,NJ,07758
SUNOCO SERVICE STATION #0485 1416 7724,343 MAIN ST,KEYPORT,NJ,07735
KEYPORT SHELL SERVICE STATION,93 RT 36,KEYPORT,NJ,07735
LUKOIL SERVICE STATION #57736,88 RT 36,KEYPORT,NJ,07735
SHELL SERVICE STATION #100146,1355 RT 36,HAZLET,NJ,07730
QUICK CHEK FOOD STORE #75,1170 RT 36,HAZLET,NJ,07730
DURHAM SCHOOL SERVICES,436 MATAWAN AVE,ABERDEEN,NJ,07721
LEHIGH GAS SERVICE STATION,2 RT 36,MIDDLETOWN,NJ,07734
JC FOREVER SERVICE STATION,44 RT 36,HAZLET,NJ,07730
SHELL SERVICE STATION #138389,9 RT 36,KEANSBURG,NJ,07734
MONMOUTH CNTY ROAD DEPT DIST #8,1621 UNION AVE,HAZLET,NJ,07730
DELTA SERVICE STATION,161 RT 36,WEST KEANSBURG,NJ,07734
KEYPORT AUTO SALES,76 BROAD ST,KEYPORT,NJ,07735
SUNOCO SERVICE STATION #0007 7255,210 RT 36,HAZLET,NJ,07734
AMOCO SERVICE STATION #741,390 RT 35,ABERDEEN,NJ,07721
AB FUEL,963 RT 36,HAZLET,NJ,07730
WOROCO INC SERVICE STATION,241 RT 36,HAZLET,NJ,07734
UNIVERSAL AUTOS,325 RT 36,HAZLET,NJ,07734
SPEEDWAY SERVICE STATION #03449,967 RT 36,UNION BEACH,NJ,07735
WAWA FOOD MARKET #976,204 RT 35,ABERDEEN,NJ,07735
US DEPT OF INTERIOR GATEWAY NATIONAL PARK RECREATIONAL AREA,VARIOUS STREETS ,MIDDLETOWN,NJ,07732